marital,sibs,childs,age,educ,adults,happy,dwelown
married,3.0,2.0,38.0,14.0,2.0,3.0,other
never_married,2.0,0.0,39.0,16.0,3.0,2.0,other
never_married,5.0,1.0,26.0,16.0,2.0,3.0,owns
never_married,1.0,0.0,23.0,14.0,3.0,2.0,owns
married,4.0,3.0,39.0,16.0,4.0,2.0,owns
never_married,2.0,0.0,50.0,12.0,2.0,2.0,rents
never_married,7.0,4.0,56.0,12.0,2.0,3.0,rents
never_married,0.0,1.0,31.0,16.0,1.0,2.0,rents
never_married,0.0,0.0,60.0,18.0,1.0,2.0,owns
married,1.0,1.0,68.0,16.0,2.0,3.0,other
divorced,2.0,2.0,58.0,14.0,1.0,1.0,other
married,3.0,3.0,49.0,16.0,2.0,2.0,owns
never_married,0.0,0.0,22.0,14.0,3.0,2.0,rents
married,33.0,3.0,86.0,10.0,7.0,2.0,owns
married,1.0,2.0,58.0,14.0,2.0,3.0,other
married,1.0,3.0,89.0,16.0,2.0,3.0,owns
widowed,6.0,3.0,82.0,12.0,1.0,3.0,owns
married,1.0,1.0,34.0,16.0,2.0,2.0,rents
separated,1.0,2.0,41.0,13.0,1.0,2.0,owns
married,6.0,0.0,50.0,20.0,2.0,3.0,owns
married,1.0,4.0,66.0,20.0,3.0,2.0,owns
never_married,3.0,0.0,24.0,16.0,5.0,3.0,other
never_married,1.0,0.0,89.0,12.0,1.0,3.0,owns
married,2.0,2.0,52.0,12.0,3.0,1.0,owns
married,5.0,2.0,34.0,9.0,4.0,3.0,rents
married,7.0,3.0,64.0,12.0,2.0,2.0,owns
married,4.0,3.0,73.0,13.0,3.0,2.0,owns
never_married,2.0,0.0,39.0,18.0,1.0,2.0,owns
married,2.0,2.0,58.0,18.0,2.0,2.0,other
married,1.0,3.0,41.0,20.0,2.0,3.0,owns
married,3.0,3.0,49.0,18.0,2.0,3.0,other
married,6.0,2.0,40.0,13.0,2.0,3.0,rents
divorced,1.0,2.0,53.0,16.0,1.0,2.0,owns
never_married,3.0,0.0,58.0,16.0,1.0,1.0,other
married,0.0,2.0,71.0,18.0,2.0,3.0,owns
widowed,0.0,2.0,80.0,20.0,1.0,2.0,owns
married,11.0,4.0,41.0,6.0,2.0,3.0,other
married,7.0,2.0,49.0,15.0,3.0,3.0,owns
married,7.0,3.0,51.0,13.0,2.0,2.0,owns
separated,1.0,2.0,49.0,13.0,1.0,2.0,owns
widowed,3.0,3.0,74.0,15.0,1.0,3.0,other
married,1.0,1.0,49.0,12.0,3.0,2.0,other
married,2.0,3.0,39.0,16.0,2.0,2.0,other
divorced,11.0,6.0,65.0,12.0,3.0,2.0,rents
married,3.0,2.0,32.0,10.0,3.0,3.0,rents
married,6.0,3.0,33.0,12.0,2.0,2.0,rents
never_married,4.0,4.0,36.0,14.0,3.0,1.0,other
married,1.0,3.0,41.0,17.0,2.0,2.0,other
married,6.0,2.0,25.0,6.0,2.0,2.0,rents
separated,5.0,2.0,66.0,16.0,1.0,1.0,other
married,1.0,2.0,99.0,17.0,2.0,3.0,other
divorced,3.0,3.0,99.0,16.0,1.0,3.0,owns
divorced,4.0,1.0,43.0,14.0,1.0,2.0,rents
married,4.0,2.0,58.0,18.0,2.0,2.0,owns
married,2.0,1.0,76.0,15.0,2.0,3.0,owns
married,0.0,2.0,40.0,19.0,2.0,2.0,owns
married,0.0,6.0,67.0,16.0,4.0,2.0,owns
married,14.0,0.0,25.0,4.0,5.0,3.0,other
never_married,9.0,4.0,31.0,12.0,2.0,2.0,other
never_married,12.0,0.0,19.0,12.0,2.0,2.0,other
never_married,7.0,4.0,52.0,12.0,1.0,2.0,other
widowed,11.0,0.0,78.0,13.0,1.0,1.0,owns
married,3.0,2.0,73.0,16.0,2.0,2.0,owns
widowed,5.0,4.0,66.0,13.0,2.0,3.0,owns
married,2.0,2.0,42.0,14.0,2.0,3.0,owns
divorced,3.0,1.0,51.0,17.0,2.0,1.0,other
married,1.0,1.0,75.0,16.0,2.0,3.0,owns
divorced,3.0,3.0,45.0,11.0,2.0,2.0,rents
married,2.0,2.0,58.0,16.0,2.0,2.0,other
married,3.0,2.0,51.0,18.0,2.0,2.0,owns
married,2.0,2.0,49.0,14.0,3.0,3.0,owns
married,2.0,3.0,55.0,13.0,2.0,3.0,other
divorced,2.0,0.0,50.0,16.0,2.0,3.0,other
married,1.0,2.0,54.0,14.0,2.0,3.0,owns
married,4.0,2.0,54.0,18.0,1.0,3.0,owns
divorced,1.0,3.0,55.0,18.0,1.0,3.0,owns
married,1.0,5.0,72.0,17.0,2.0,2.0,owns
married,0.0,2.0,37.0,16.0,3.0,3.0,owns
never_married,4.0,0.0,37.0,14.0,1.0,2.0,other
married,9.0,3.0,58.0,12.0,2.0,3.0,owns
divorced,1.0,4.0,52.0,12.0,2.0,1.0,owns
married,6.0,1.0,36.0,10.0,2.0,2.0,other
separated,5.0,3.0,61.0,3.0,1.0,1.0,rents
divorced,1.0,3.0,55.0,11.0,1.0,3.0,other
never_married,7.0,0.0,44.0,5.0,2.0,1.0,rents
married,8.0,0.0,33.0,15.0,2.0,2.0,rents
never_married,2.0,0.0,18.0,11.0,4.0,1.0,other
married,3.0,2.0,42.0,12.0,2.0,3.0,rents
married,15.0,2.0,41.0,6.0,2.0,2.0,rents
divorced,4.0,1.0,66.0,15.0,1.0,2.0,rents
never_married,2.0,0.0,27.0,16.0,1.0,2.0,rents
married,3.0,0.0,22.0,13.0,2.0,3.0,rents
married,1.0,2.0,33.0,14.0,2.0,3.0,owns
married,3.0,5.0,46.0,14.0,2.0,3.0,other
never_married,0.0,0.0,25.0,15.0,1.0,2.0,other
