Model,FPR,TPR
RF more features,0.0,0.0030487804878
RF more features,0.0,0.015243902439
RF more features,0.00151591712986,0.015243902439
RF more features,0.00151591712986,0.0243902439024
RF more features,0.00202122283982,0.0243902439024
RF more features,0.00202122283982,0.0335365853659
RF more features,0.00252652854977,0.0335365853659
RF more features,0.00252652854977,0.0487804878049
RF more features,0.00303183425973,0.0487804878049
RF more features,0.00303183425973,0.0518292682927
RF more features,0.00505305709955,0.0518292682927
RF more features,0.00505305709955,0.0548780487805
RF more features,0.00656897422941,0.0548780487805
RF more features,0.00656897422941,0.0609756097561
RF more features,0.00909550277918,0.0609756097561
RF more features,0.00909550277918,0.0640243902439
RF more features,0.00960080848914,0.0640243902439
RF more features,0.00960080848914,0.0670731707317
RF more features,0.010611419909,0.0670731707317
RF more features,0.010611419909,0.0701219512195
RF more features,0.011622031329,0.0701219512195
RF more features,0.011622031329,0.0731707317073
RF more features,0.0121273370389,0.0731707317073
RF more features,0.0121273370389,0.0762195121951
RF more features,0.0131379484588,0.0762195121951
RF more features,0.0131379484588,0.0792682926829
RF more features,0.0146538655887,0.0792682926829
RF more features,0.0146538655887,0.0853658536585
RF more features,0.0146538655887,0.0884146341463
RF more features,0.0156644770086,0.0884146341463
RF more features,0.0156644770086,0.103658536585
RF more features,0.0161697827185,0.103658536585
RF more features,0.0161697827185,0.106707317073
RF more features,0.0171803941385,0.106707317073
RF more features,0.0171803941385,0.112804878049
RF more features,0.0176856998484,0.112804878049
RF more features,0.0176856998484,0.121951219512
RF more features,0.0197069226882,0.121951219512
RF more features,0.0197069226882,0.125
RF more features,0.0202122283982,0.125
RF more features,0.0202122283982,0.134146341463
RF more features,0.022233451238,0.134146341463
RF more features,0.022233451238,0.137195121951
RF more features,0.0232440626579,0.137195121951
RF more features,0.0232440626579,0.143292682927
RF more features,0.0247599797878,0.143292682927
RF more features,0.0247599797878,0.146341463415
RF more features,0.0252652854977,0.146341463415
RF more features,0.0252652854977,0.155487804878
RF more features,0.0267812026276,0.155487804878
RF more features,0.0267812026276,0.158536585366
RF more features,0.0298130368873,0.158536585366
RF more features,0.0298130368873,0.164634146341
RF more features,0.0313289540172,0.164634146341
RF more features,0.0313289540172,0.176829268293
RF more features,0.0323395654371,0.176829268293
RF more features,0.0323395654371,0.192073170732
RF more features,0.0348660939869,0.192073170732
RF more features,0.0348660939869,0.198170731707
RF more features,0.0363820111167,0.198170731707
RF more features,0.0363820111167,0.207317073171
RF more features,0.0373926225366,0.207317073171
RF more features,0.0373926225366,0.210365853659
RF more features,0.0404244567964,0.210365853659
RF more features,0.0404244567964,0.216463414634
RF more features,0.0409297625063,0.216463414634
RF more features,0.0409297625063,0.219512195122
RF more features,0.0419403739262,0.219512195122
RF more features,0.0419403739262,0.225609756098
RF more features,0.0424456796362,0.225609756098
RF more features,0.0424456796362,0.228658536585
RF more features,0.0459828196059,0.228658536585
RF more features,0.0459828196059,0.231707317073
RF more features,0.0464881253158,0.231707317073
RF more features,0.0464881253158,0.237804878049
RF more features,0.0490146538656,0.237804878049
RF more features,0.0490146538656,0.25
RF more features,0.0495199595755,0.25
RF more features,0.0495199595755,0.256097560976
RF more features,0.0500252652855,0.256097560976
RF more features,0.0500252652855,0.259146341463
RF more features,0.0505305709955,0.259146341463
RF more features,0.0505305709955,0.268292682927
RF more features,0.056088933805,0.268292682927
RF more features,0.056088933805,0.283536585366
RF more features,0.0586154623547,0.283536585366
RF more features,0.0586154623547,0.289634146341
RF more features,0.0596260737746,0.289634146341
RF more features,0.0596260737746,0.292682926829
RF more features,0.0601313794846,0.292682926829
RF more features,0.0601313794846,0.298780487805
RF more features,0.0626579080344,0.298780487805
RF more features,0.0626579080344,0.301829268293
RF more features,0.0631632137443,0.301829268293
RF more features,0.0631632137443,0.30487804878
RF more features,0.0641738251642,0.30487804878
RF more features,0.0641738251642,0.307926829268
RF more features,0.0646791308742,0.307926829268
RF more features,0.0646791308742,0.310975609756
RF more features,0.0651844365841,0.310975609756
RF more features,0.0651844365841,0.314024390244
RF more features,0.066195048004,0.314024390244
RF more features,0.066195048004,0.317073170732
RF more features,0.0687215765538,0.317073170732
RF more features,0.0687215765538,0.323170731707
RF more features,0.0697321879737,0.323170731707
RF more features,0.0697321879737,0.326219512195
RF more features,0.0727640222335,0.326219512195
RF more features,0.0727640222335,0.329268292683
RF more features,0.0752905507832,0.329268292683
RF more features,0.0752905507832,0.335365853659
RF more features,0.0808489135927,0.335365853659
RF more features,0.0808489135927,0.338414634146
RF more features,0.0864072764022,0.338414634146
RF more features,0.0864072764022,0.34756097561
RF more features,0.0904497220819,0.34756097561
RF more features,0.0904497220819,0.356707317073
RF more features,0.0914603335018,0.356707317073
RF more features,0.0914603335018,0.359756097561
RF more features,0.0924709449217,0.359756097561
RF more features,0.0924709449217,0.365853658537
RF more features,0.0934815563416,0.365853658537
RF more features,0.0934815563416,0.368902439024
RF more features,0.0944921677615,0.368902439024
RF more features,0.0944921677615,0.375
RF more features,0.0949974734715,0.375
RF more features,0.0949974734715,0.378048780488
RF more features,0.0970186963113,0.378048780488
RF more features,0.0970186963113,0.381097560976
RF more features,0.099545224861,0.381097560976
RF more features,0.099545224861,0.384146341463
RF more features,0.100050530571,0.384146341463
RF more features,0.100050530571,0.399390243902
RF more features,0.100555836281,0.399390243902
RF more features,0.100555836281,0.405487804878
RF more features,0.102577059121,0.405487804878
RF more features,0.102577059121,0.408536585366
RF more features,0.103082364831,0.408536585366
RF more features,0.103082364831,0.411585365854
RF more features,0.104598281961,0.411585365854
RF more features,0.104598281961,0.414634146341
RF more features,0.10813542193,0.414634146341
RF more features,0.10813542193,0.420731707317
RF more features,0.10914603335,0.420731707317
RF more features,0.10914603335,0.423780487805
RF more features,0.10965133906,0.423780487805
RF more features,0.10965133906,0.426829268293
RF more features,0.11116725619,0.426829268293
RF more features,0.11116725619,0.42987804878
RF more features,0.11318847903,0.42987804878
RF more features,0.11318847903,0.432926829268
RF more features,0.117736230419,0.432926829268
RF more features,0.117736230419,0.435975609756
RF more features,0.120768064679,0.435975609756
RF more features,0.120768064679,0.448170731707
RF more features,0.121778676099,0.448170731707
RF more features,0.121778676099,0.451219512195
RF more features,0.124305204649,0.451219512195
RF more features,0.124305204649,0.454268292683
RF more features,0.129863567458,0.454268292683
RF more features,0.129863567458,0.457317073171
RF more features,0.130874178878,0.457317073171
RF more features,0.130874178878,0.460365853659
RF more features,0.132390096008,0.460365853659
RF more features,0.132390096008,0.47256097561
RF more features,0.133906013138,0.47256097561
RF more features,0.133906013138,0.478658536585
RF more features,0.135421930268,0.478658536585
RF more features,0.135421930268,0.481707317073
RF more features,0.136432541688,0.481707317073
RF more features,0.136432541688,0.484756097561
RF more features,0.138959070237,0.484756097561
RF more features,0.138959070237,0.490853658537
RF more features,0.140980293077,0.490853658537
RF more features,0.140980293077,0.496951219512
RF more features,0.145022738757,0.496951219512
RF more features,0.145022738757,0.5
RF more features,0.146538655887,0.5
RF more features,0.146538655887,0.509146341463
RF more features,0.149570490147,0.509146341463
RF more features,0.149570490147,0.512195121951
RF more features,0.150075795856,0.512195121951
RF more features,0.150075795856,0.521341463415
RF more features,0.150581101566,0.521341463415
RF more features,0.150581101566,0.524390243902
RF more features,0.156139464376,0.524390243902
RF more features,0.156139464376,0.530487804878
RF more features,0.156644770086,0.530487804878
RF more features,0.156644770086,0.533536585366
RF more features,0.161192521475,0.533536585366
RF more features,0.161192521475,0.539634146341
RF more features,0.161697827185,0.539634146341
RF more features,0.161697827185,0.542682926829
RF more features,0.165234967155,0.542682926829
RF more features,0.165234967155,0.545731707317
RF more features,0.167761495705,0.545731707317
RF more features,0.167761495705,0.548780487805
RF more features,0.168266801415,0.548780487805
RF more features,0.168266801415,0.551829268293
RF more features,0.176351692774,0.551829268293
RF more features,0.176351692774,0.55487804878
RF more features,0.177362304194,0.55487804878
RF more features,0.177362304194,0.560975609756
RF more features,0.178372915614,0.560975609756
RF more features,0.178372915614,0.564024390244
RF more features,0.182415361294,0.564024390244
RF more features,0.182415361294,0.567073170732
RF more features,0.184436584133,0.567073170732
RF more features,0.184436584133,0.57012195122
RF more features,0.184941889843,0.57012195122
RF more features,0.184941889843,0.573170731707
RF more features,0.186963112683,0.573170731707
RF more features,0.186963112683,0.576219512195
RF more features,0.187468418393,0.576219512195
RF more features,0.187468418393,0.579268292683
RF more features,0.187973724103,0.579268292683
RF more features,0.187973724103,0.582317073171
RF more features,0.188479029813,0.582317073171
RF more features,0.188479029813,0.585365853659
RF more features,0.193026781203,0.585365853659
RF more features,0.193026781203,0.588414634146
RF more features,0.195553309752,0.588414634146
RF more features,0.195553309752,0.591463414634
RF more features,0.200606366852,0.591463414634
RF more features,0.200606366852,0.594512195122
RF more features,0.203132895402,0.594512195122
RF more features,0.203132895402,0.59756097561
RF more features,0.204648812532,0.59756097561
RF more features,0.204648812532,0.603658536585
RF more features,0.208185952501,0.603658536585
RF more features,0.208185952501,0.606707317073
RF more features,0.208691258211,0.606707317073
RF more features,0.208691258211,0.609756097561
RF more features,0.21778676099,0.609756097561
RF more features,0.21778676099,0.612804878049
RF more features,0.21980798383,0.612804878049
RF more features,0.21980798383,0.615853658537
RF more features,0.22081859525,0.615853658537
RF more features,0.22081859525,0.618902439024
RF more features,0.227892875189,0.618902439024
RF more features,0.227892875189,0.621951219512
RF more features,0.230924709449,0.621951219512
RF more features,0.230924709449,0.628048780488
RF more features,0.232440626579,0.628048780488
RF more features,0.232440626579,0.631097560976
RF more features,0.232945932289,0.631097560976
RF more features,0.232945932289,0.634146341463
RF more features,0.248105103588,0.634146341463
RF more features,0.248105103588,0.637195121951
RF more features,0.250631632137,0.637195121951
RF more features,0.250631632137,0.640243902439
RF more features,0.252147549267,0.640243902439
RF more features,0.252147549267,0.643292682927
RF more features,0.252652854977,0.643292682927
RF more features,0.252652854977,0.646341463415
RF more features,0.256189994947,0.646341463415
RF more features,0.256189994947,0.649390243902
RF more features,0.259727134917,0.649390243902
RF more features,0.259727134917,0.65243902439
RF more features,0.263264274886,0.65243902439
RF more features,0.263264274886,0.655487804878
RF more features,0.264274886306,0.655487804878
RF more features,0.264274886306,0.658536585366
RF more features,0.271854471956,0.658536585366
RF more features,0.271854471956,0.661585365854
RF more features,0.275391611925,0.661585365854
RF more features,0.275391611925,0.664634146341
RF more features,0.277412834765,0.664634146341
RF more features,0.277412834765,0.667682926829
RF more features,0.279434057605,0.667682926829
RF more features,0.279434057605,0.670731707317
RF more features,0.281960586155,0.670731707317
RF more features,0.281960586155,0.673780487805
RF more features,0.283476503284,0.673780487805
RF more features,0.283476503284,0.676829268293
RF more features,0.286003031834,0.676829268293
RF more features,0.286003031834,0.67987804878
RF more features,0.287013643254,0.67987804878
RF more features,0.287013643254,0.682926829268
RF more features,0.287518948964,0.682926829268
RF more features,0.287518948964,0.685975609756
RF more features,0.290045477514,0.685975609756
RF more features,0.290045477514,0.689024390244
RF more features,0.293582617484,0.689024390244
RF more features,0.293582617484,0.692073170732
RF more features,0.299140980293,0.692073170732
RF more features,0.299140980293,0.69512195122
RF more features,0.301667508843,0.69512195122
RF more features,0.301667508843,0.701219512195
RF more features,0.307225871652,0.701219512195
RF more features,0.307225871652,0.704268292683
RF more features,0.310257705912,0.704268292683
RF more features,0.310257705912,0.707317073171
RF more features,0.317837291561,0.707317073171
RF more features,0.317837291561,0.713414634146
RF more features,0.320869125821,0.713414634146
RF more features,0.320869125821,0.716463414634
RF more features,0.321374431531,0.716463414634
RF more features,0.321374431531,0.719512195122
RF more features,0.322890348661,0.719512195122
RF more features,0.322890348661,0.72256097561
